"AUC","Master.ID","Cell.Line"
16.586,447732,"RPMI7951"
15,449707,"RPMI7951"
15,452570,"RPMI7951"
16.106,463198,"RPMI7951"
14.257,596868,"RPMI7951"
16.95,600054,"RPMI7951"
16.039,608062,"RPMI7951"
12.379,18311,"253J"
16.63,23256,"253J"
13.521,25036,"253J"
15.647,25393,"253J"
15.751,26870,"253J"
12.432,26914,"253J"
12.509,26972,"253J"
14.002,27894,"253J"
9.2242,28172,"253J"
14.547,29985,"253J"
11.388,32372,"253J"
10.346,32653,"253J"
12.634,33166,"253J"
7.5252,36599,"253J"
3.5617,37190,"253J"
13.243,39782,"253J"
13.218,44503,"253J"
15,46792,"253J"
11.729,48589,"253J"
14.853,50140,"253J"
13.477,50715,"253J"
14.542,50727,"253J"
13.894,50747,"253J"
14.965,50753,"253J"
11.342,52123,"253J"
13.684,52430,"253J"
13.68,52576,"253J"
12.246,58455,"253J"
15.459,61775,"253J"
13.211,142931,"253J"
13.941,345041,"253J"
10.916,348997,"253J"
13.327,350548,"253J"
11.609,375256,"253J"
8.3154,375264,"253J"
15.716,375366,"253J"
15.968,375390,"253J"
14.27,375435,"253J"
13.039,375447,"253J"
14.604,375487,"253J"
13.114,375496,"253J"
12.987,375560,"253J"
11.423,375564,"253J"
11.738,375594,"253J"
14.702,375596,"253J"
14.234,397964,"253J"
14.476,402775,"253J"
14.603,404452,"253J"
10.455,404566,"253J"
14.427,410270,"253J"
15.287,410703,"253J"
15.898,414479,"253J"
16.955,415688,"253J"
16.556,416842,"253J"
15.382,417262,"253J"
15,429535,"253J"
15,437263,"253J"
13.806,437906,"253J"
15.393,438564,"253J"
14.868,438691,"253J"
14.136,438776,"253J"
14.332,442141,"253J"
15.755,447732,"253J"
14.602,449707,"253J"
14.687,452570,"253J"
15.226,463198,"253J"
14.614,596868,"253J"
15.177,600054,"253J"
15.856,608062,"253J"
12.965,18311,"ALLSIL"
13.333,25393,"ALLSIL"
12.865,27894,"ALLSIL"
5.5777,28172,"ALLSIL"
10.296,32653,"ALLSIL"
4.1141,36599,"ALLSIL"
5.0269,37190,"ALLSIL"
10.5,39782,"ALLSIL"
11.054,44503,"ALLSIL"
12.012,44511,"ALLSIL"
10.727,46792,"ALLSIL"
8.3384,48589,"ALLSIL"
14.453,50140,"ALLSIL"
11.03,50715,"ALLSIL"
10.375,50727,"ALLSIL"
12.682,50747,"ALLSIL"
8.5547,52123,"ALLSIL"
11.853,52430,"ALLSIL"
12.682,58472,"ALLSIL"
12.679,142931,"ALLSIL"
6.775,345041,"ALLSIL"
9.0402,348997,"ALLSIL"
14.225,350548,"ALLSIL"
9.2199,375256,"ALLSIL"
8.857,375264,"ALLSIL"
13.313,375354,"ALLSIL"
14.131,375435,"ALLSIL"
14.261,375487,"ALLSIL"
10.137,375496,"ALLSIL"
7.0961,375560,"ALLSIL"
10.737,375564,"ALLSIL"
11.298,375594,"ALLSIL"
13.146,375596,"ALLSIL"
15.499,397964,"ALLSIL"
14.964,402775,"ALLSIL"
14.233,404452,"ALLSIL"
8.1026,404566,"ALLSIL"
14.262,410270,"ALLSIL"
14.587,414479,"ALLSIL"
15.388,416842,"ALLSIL"
14.609,437906,"ALLSIL"
16.815,438564,"ALLSIL"
14.697,438776,"ALLSIL"
14.938,442141,"ALLSIL"
15,447732,"ALLSIL"
15.938,449707,"ALLSIL"
15.986,463198,"ALLSIL"
14.092,608062,"ALLSIL"
14.435,18311,"HDQP1"
14.639,23256,"HDQP1"
14.48,25036,"HDQP1"
16.321,25393,"HDQP1"
14.24,26870,"HDQP1"
14.776,26914,"HDQP1"
13.793,26972,"HDQP1"
13.166,27894,"HDQP1"
12.211,28172,"HDQP1"
16.052,29985,"HDQP1"
12.881,32653,"HDQP1"
13.458,33166,"HDQP1"
11.122,36599,"HDQP1"
7.5506,37190,"HDQP1"
13.689,39782,"HDQP1"
12.361,44503,"HDQP1"
14.416,44511,"HDQP1"
14.848,46792,"HDQP1"
12.557,48589,"HDQP1"
14.478,50140,"HDQP1"
13.643,50715,"HDQP1"
13.268,50727,"HDQP1"
16.276,50753,"HDQP1"
13.439,52123,"HDQP1"
13.789,52430,"HDQP1"
15.269,52576,"HDQP1"
13.957,58455,"HDQP1"
14.891,61775,"HDQP1"
14.086,142931,"HDQP1"
17.629,345041,"HDQP1"
11.92,348997,"HDQP1"
13.134,375256,"HDQP1"
10.648,375264,"HDQP1"
14.631,375354,"HDQP1"
15.974,375366,"HDQP1"
14.868,375390,"HDQP1"
14.72,375435,"HDQP1"
14.342,375447,"HDQP1"
14.608,375487,"HDQP1"
13.942,375496,"HDQP1"
13.386,375564,"HDQP1"
13.97,375594,"HDQP1"
14.763,375596,"HDQP1"
15.05,397964,"HDQP1"
15.864,402775,"HDQP1"
15.964,404452,"HDQP1"
13.494,404566,"HDQP1"
15.177,410270,"HDQP1"
15.754,410703,"HDQP1"
15.193,414479,"HDQP1"
14.408,415688,"HDQP1"
15,416842,"HDQP1"
15.545,417262,"HDQP1"
15,429535,"HDQP1"
15.436,437263,"HDQP1"
14.498,437906,"HDQP1"
15.352,438564,"HDQP1"
14.754,438691,"HDQP1"
15.746,438776,"HDQP1"
15.737,442141,"HDQP1"
15.951,447732,"HDQP1"
14.909,449707,"HDQP1"
14.879,452570,"HDQP1"
15.256,463198,"HDQP1"
14.461,596868,"HDQP1"
15.794,600054,"HDQP1"
15.472,608062,"HDQP1"
13.914,25036,"SNU245"
15.571,25393,"SNU245"
8.478,37190,"SNU245"
12.956,46792,"SNU245"
13.651,48589,"SNU245"
15.107,52123,"SNU245"
13.23,52430,"SNU245"
15,345041,"SNU245"
13.947,348997,"SNU245"
14.599,375390,"SNU245"
12.364,375564,"SNU245"
11.821,375594,"SNU245"
12.751,375596,"SNU245"
17.302,402775,"SNU245"
14.238,404452,"SNU245"
15.431,410270,"SNU245"
15.968,414479,"SNU245"
14.759,416842,"SNU245"
14.671,437263,"SNU245"
14.889,437906,"SNU245"
15.329,442141,"SNU245"
14.657,447732,"SNU245"
13.142,26870,"SIMA"
6.7356,28172,"SIMA"
10.916,32653,"SIMA"
12.526,33166,"SIMA"
5.213,37190,"SIMA"
10.835,48589,"SIMA"
14.148,50140,"SIMA"
14.451,50747,"SIMA"
15.293,50753,"SIMA"
12.107,52430,"SIMA"
9.043,348997,"SIMA"
16.931,350548,"SIMA"
10.152,375256,"SIMA"
8.4849,375264,"SIMA"
14.419,375390,"SIMA"
11.758,375447,"SIMA"
14.833,375487,"SIMA"
8.6409,375564,"SIMA"
10.276,375594,"SIMA"
